Kode;Nama Saham
ADRO;Adaro Energy Tbk.
ANTM;Aneka Tambang Tbk.
ASII;Astra International Tbk.
BBCA;Bank Central Asia Tbk.
BBNI;Bank Negara Indonesia (Persero) Tbk.
BBRI;Bank Rakyat Indonesia (Persero) Tbk.
BBTN;Bank Tabungan Negara (Persero) Tbk.
BMRI;Bank Mandiri (Persero) Tbk.
BRPT;Barito Pacific Tbk.
BUKA;Bukalapak.com Tbk.
CPIN;Charoen Pokphand Indonesia Tbk
EMTK;Elang Mahkota Teknologi Tbk.
EXCL;XL Axiata Tbk.
ICBP;Indofood CBP Sukses Makmur Tbk.
INCO;Vale Indonesia Tbk.
INDF;Indofood Sukses Makmur Tbk.
INKP;Indah Kiat Pulp & Paper Tbk.
KLBF;Kalbe Farma Tbk.
MDKA;Merdeka Copper Gold Tbk.
MIKA;Mitra Keluarga Karyasehat Tbk.
PGAS;Perusahaan Gas Negara Tbk.
PTBA;Bukit Asam Tbk.
SMGR;Semen Indonesia (Persero) Tbk.
TBIG;Tower Bersama Infrastructure Tbk.
TINS;Timah Tbk.
TLKM;Telkom Indonesia (Persero) Tbk.
TOWR;Sarana Menara Nusantara Tbk.
UNTR;United Tractors Tbk.
UNVR;Unilever Indonesia Tbk.
WSKT;Waskita Karya (Persero) Tbk.
ADMF;Adira Dinamika Multi Finance Tbk.
ADRO;Adaro Energy Tbk.
ANTM;Aneka Tambang Tbk.
ASII;Astra International Tbk.
BBCA;Bank Central Asia Tbk.
BBNI;Bank Negara Indonesia (Persero) Tbk.
BBRI;Bank Rakyat Indonesia (Persero) Tbk.
BMRI;Bank Mandiri (Persero) Tbk.
CPIN;Charoen Pokphand Indonesia Tbk
HEXA;Hexindo Adiperkasa Tbk.
HMSP;H.M. Sampoerna Tbk.
INDF;Indofood Sukses Makmur Tbk.
ITMG;Indo Tambangraya Megah Tbk.
KLBF;Kalbe Farma Tbk.
MPMX;Mitra Pinasthika Mustika Tbk.
PTBA;Bukit Asam Tbk.
TLKM;Telkom Indonesia (Persero) Tbk.
TOWR;Sarana Menara Nusantara Tbk.
UNTR;United Tractors Tbk.
UNVR;Unilever Indonesia Tbk.
